name,zip,orders,month,delivery_service
Winterliche Schanze,1090,493,2,competition
Stern Tafelspitz,1100,1191,2,competition
Weinstube Kneipenlokal,4060,45,2,competition
Erfahrene Tafelspitz,4303,148,2,competition
Wolkenkratzer Winkel,1160,1540,2,competition
Große Wirt,2225,89,2,competition
Festliche Biergarten,4020,169,2,competition
Idyllische Stubn,4662,614,2,competition
Grüne Drinkery,1080,107,2,competition
Idyllische Dive,1220,589,2,competition
Heimat Weinbistro,1050,9,2,competition
Edelweiß Grillplatz,1090,892,2,competition
Gesellige Watering hole,6020,69,2,competition
Blaue Keller,1070,4,2,competition
Märchenhafte Bauernhof,1070,234,2,competition
Gebackene Hideaway,1080,104,2,competition
Dörfler Weinstube,1170,164,2,competition
Berg Stube,1220,1187,2,competition
Gute Ecke,3650,209,2,competition
Wolkenkratzer Festscheune,1050,208,2,competition
Blaue Platzl,1090,10,2,competition
Weinstube Küche,8010,29,2,competition
Sonnen Brauhaus,1050,94,2,competition
Schloss Kellerstüberl,2700,11,2,competition
Geheimnisvolle Tanzschuppen,3830,222,2,competition
Fischer Verköstigungszimmer,5600,316,2,competition
Herzliche Stubn,6800,176,2,competition
Bergdorf Herrenhaus,5020,165,2,competition
Traditionsreiche Krug,1170,775,2,competition
Blumen Rathskeller,9500,182,2,competition
Sonnen Eatery,1100,302,2,competition
Ländliche Tanzschuppen,1080,6,2,competition
Goldene Dive,8074,828,2,competition
Hof Stadl,6060,367,2,competition
Verträumte Stüberl,2560,260,2,competition
Quaint Weinkneipe,6112,355,2,competition
Ruhige Schänke,1160,86,2,competition
Glänzende Schankstube,1040,26,2,competition
Romantische Almhütte,1010,999,2,competition
Exotische Café,5020,1851,2,competition
Herzog Soda fountain,3430,828,2,competition
Zirben Schanze,1030,331,2,competition
Rote Palast,1090,8,2,competition
Gute Ginmill,1090,30,2,competition
Heimat Bodega,6300,353,2,competition
Bergdorf Tanzlokal,1100,1420,2,competition
Kultivierte Pizzeria,4020,213,2,competition
Bunte Schenke,3124,225,2,competition
Blumen Winery,1190,193,2,competition
Märchenhafte Feuerstelle,1110,9,2,competition
Bäuerliche Jausenstation,1020,642,2,competition
Maritime Lokal,4070,14,2,competition
Traditionelle Schanze,4053,1048,2,competition
Wolkenkratzer Stubn,9020,156,2,competition
Kleine Winkel,1100,720,2,competition
Quaint Ecke,1100,102,2,competition
Sonnen Speisesaal,1220,678,2,competition
Bauer Küche,8010,12,2,competition
Verträumte Weinkeller,1120,367,2,competition
Frische Speiselokal,5020,347,2,competition
Bustling Weinbistro,8041,672,2,competition
Elegante Taverna,4614,151,2,competition
Verträumte Gastzimmer,1010,79,2,competition
Mühle Herberge,9020,89,2,competition
Gesellige Feuerstelle,6020,82,2,competition
Bunte Wirtshaus,1100,605,2,competition
Alpine Schenke,1080,53,2,competition
Grüne Dive,4600,771,2,competition
Blaue Küche,1050,79,2,competition
Goldene Alm,1010,30,2,competition
Ruhige Gourmet,8010,75,2,competition
Ruhige Gastgewölbe,1170,28,2,competition
Maritime Scheune,1030,103,2,competition
Hohe Pizzeria,9560,753,2,competition
Wolkenkratzer Bodega,5020,198,2,competition
Rote Ort,1160,82,2,competition
Mühle Waldhaus,2511,129,2,competition
Quaint Bierbrunnen,4240,289,2,competition
Heimat Tafelspitz,1030,7,2,competition
Frische Weinkeller,8010,98,2,competition
Alte Ort,1140,2491,2,competition
Countrified Küche,1020,463,2,competition
Grüne Taverna,1210,219,2,competition
Countrified Feuerstelle,8010,76,2,competition
Glänzende Inn,6840,315,2,competition
Schöne Weinkeller,1060,7,2,competition
Verzauberte Krug,7041,163,2,competition
Festliche Schänke,8010,78,2,competition
Sonnen Café,2230,397,2,competition
Elegante Felsenkeller,1090,55,2,competition
Märchenhafte Haus,1030,54,2,competition
Adventurous Wanderhütte,1050,56,2,competition
Sonnen Tafelspitz,1120,426,2,competition
Bunte Alm,8010,542,2,competition
Dörfler Jausenstation,1060,55,2,competition
Sonnige Stadl,6020,81,2,competition
Blaue Dorf,1100,544,2,competition
Quaint Hideaway,2822,399,2,competition
Ruhige Rittersaal,2380,724,2,competition
Bustling Lokal,1220,657,2,competition
Fröhliche Kneipenlokal,1030,0,2,competition
Fröhliche Speisesaal,1030,335,2,competition
Countrified Eck,4400,284,2,competition
Stern Biergarten,1090,73,2,competition
Roter Stüberl,8055,5,2,competition
Goldene Weinstube,5020,1054,2,competition
Stern Hofladen,8010,323,2,competition
Hohe Keller,6020,331,2,competition
Elegante Stube,5020,1062,2,competition
Große Salons,1090,1,2,competition
Märchenhafte See,1100,386,2,competition
Blaue Hofladen,1120,14,2,competition
Verträumte Schenke,9020,327,2,competition
Bustling Almhütte,8020,23,2,competition
Exotische Südseeparadies,6890,592,2,competition
Rustikale Schankstube,1040,432,2,competition
Wiener Kneipenlokal,1160,32,2,competition
Kaiser Hangout,8010,219,2,competition
Silberne Hideaway,8020,8,2,competition
Rasante Stüberl,8700,225,2,competition
Ruhige Gasthof,7202,26,2,competition
Silberne Tafelspitz,5020,115,2,competition
Mozart Biergarten,5280,249,2,competition
Herbstliche Wanderhütte,5020,32,2,competition
Romantische Dorf,2640,141,2,competition
Glanzvolle Stüberl,4400,126,2,competition
Kultivierte Festscheune,1070,3,2,competition
Pittoreske Haus,1050,10,2,competition
Himmel Esszimmer,3100,246,2,competition
Stern Heuriger,1010,152,2,competition
Bunte Soda fountain,8940,149,2,competition
Malerische Taverna,1170,275,2,competition
Glanzvolle Winkel,1040,77,2,competition
Schloss Pinte,4053,98,2,competition
Fischer Stadl,5020,13,2,competition
Rauchige Soda fountain,6414,80,2,competition
Rauchige Wirt,8741,208,2,competition
Nostalgische Kellerstüberl,1220,1496,2,competition
Kultivierte Rebgarten,1040,84,2,competition
Heimat Dorfschenke,5020,73,2,competition
Kaiser Mühle,1090,36,2,competition
Herzliche Almhütte,5020,919,2,competition
Rauchige Hofbräu,1180,95,2,competition
Glanzvolle Brauhaus,1180,347,2,competition
Quaint Gaststube,1080,1270,2,competition
Weinstube Ratsstube,4020,252,2,competition
Magische Inn,1030,30,2,competition
Gemütliche Ort,1070,11,2,competition
Gute Südseeparadies,6900,561,2,competition
Quaint Waldhaus,3002,238,2,competition
Verzauberte Mühle,4600,341,2,competition
Holz Pinte,2410,479,2,competition
Wiener Stadl,1100,482,2,competition
Pittoreske Platzl,1070,74,2,competition
Bäuerliche Festscheune,1170,211,2,competition
Köstliche Mühle,1170,548,2,competition
Quaint Inn,1120,16,2,competition
Silberne Grillplatz,8160,25,2,competition
Große Tafelspitz,3100,267,2,competition
Rasante Kneipenlokal,1050,97,2,competition
Scharfe Rathskeller,4061,320,2,competition
Blaue Schlösschen,5020,15,2,competition
Kaiser Rittersaal,6700,1346,2,competition
Bunte Hofladen,4030,806,2,competition
Bunte Tanzschuppen,1050,441,2,competition
Hohe Schmiede,1200,13,2,competition
Goldene Stadl,1230,221,2,competition
Gute Schlösschen,1210,607,2,competition
Bergdorf Bauernhof,4522,107,2,competition
Gute Dive,1040,13,2,competition
Blaue Eck,8580,29,2,competition
Gasthof Weinbar,1220,878,2,competition
Rasante Kneipe,8041,15,2,competition
Kaiser Scheune,1100,290,2,competition
Blauer Bräustüberl,1050,259,2,competition
Festliche Bodega,8020,327,2,competition
Festliche Gaststube,1010,23,2,competition
Zirben Hof,5201,23,2,competition
Bergdorf Stube,1100,807,2,competition
Sanfte Klause,1020,7,2,competition
Goldene Dorf,2460,423,2,competition
Adventurous Biergarten,1160,201,2,competition
Königliche Weinbistro,8160,326,2,competition
Wein Wanderhütte,1010,9,2,competition
Traditionsreiche Schlösschen,1120,6,2,competition
Ehrwürdige Schmiede,8053,124,2,competition
Schöne Esszimmer,1120,316,2,competition
Rasante Wirtshaus,8010,9,2,competition
Bauer Speakeasy,5020,97,2,competition
Ruhige Speakeasy,2721,1176,2,competition
Blaue Bierstube,5412,169,2,competition
Kultivierte Platz,1140,10,2,competition
Berg Soda fountain,1140,585,2,competition
Hohe Bierstube,1200,448,2,competition
Romantische Tal,4062,155,2,competition
Heimat Platz,2700,103,2,competition
Herzog Hofladen,4850,603,2,competition
Alpen Club,1180,333,2,competition
Holz Gesellschaftsraum,6020,353,2,competition
Romantische Weinbistro,8582,10,2,competition
Opulent Alm,1100,355,2,competition
Große Hofladen,1130,753,2,competition
Neue Ratsstube,6900,709,2,competition
Blaue Speisesaal,1090,152,2,competition
Königliche Tal,4300,383,2,competition
